11228,3,6,7,5,33,24,42,4,25,47,5,49
12956,9,7,4,26,13,16,32,2,14,27,49,33
14470,9,5,4,0,22,30,27,20,25,20,10,11
14909,5,8,3,48,47,14,22,4,27,44,28,33
15191,2,3,7,44,36,45,40,20,35,48,36,25
15504,6,8,3,38,31,45,18,26,37,42,29,2
15533,8,6,2,31,36,34,48,47,39,19,44,30
16174,9,6,1,24,9,30,14,36,32,47,34,11
16909,2,1,7,22,6,32,40,1,5,22,29,31
16961,6,3,8,29,10,13,2,49,25,25,28,8
18303,1,5,9,14,47,45,18,46,4,18,12,11
18473,8,3,4,33,11,5,20,23,20,10,15,47
19068,3,6,8,35,12,33,27,30,3,7,12,35
20161,6,3,4,49,24,15,27,32,41,31,16,8
22326,6,2,3,50,42,32,20,6,46,50,1,45
22416,3,2,8,49,41,42,3,9,35,5,41,13
22587,7,8,1,46,18,6,48,10,34,2,11,28
24137,9,8,5,1,25,34,48,22,23,34,33,13
24154,9,7,3,18,24,28,11,3,31,50,3,43
25058,7,8,2,2,9,18,14,18,9,27,20,32
25672,1,5,3,24,46,49,38,34,2,22,39,26
25739,4,5,3,10,1,27,5,20,32,22,12,23
26713,9,5,2,15,12,45,21,10,49,0,26,2
27529,2,6,8,31,2,46,24,35,40,49,34,10
27688,3,8,4,33,1,15,38,36,24,41,32,22
28279,5,6,4,18,15,3,34,31,0,32,50,45
28326,4,5,3,12,28,50,1,41,26,32,7,39
28740,5,2,6,18,13,45,13,36,20,38,40,26
28827,7,6,3,47,13,1,22,44,32,4,6,31
28904,7,6,8,29,17,42,34,17,8,45,5,44
29029,2,8,6,47,13,9,34,49,39,14,7,3
31156,9,8,7,4,33,28,39,7,13,7,43,37
31595,2,5,8,44,30,46,21,49,10,16,27,6
32547,6,4,2,34,7,7,5,45,26,44,3,47
32879,1,3,9,8,36,26,50,27,25,5,44,16
35062,8,6,2,18,16,10,6,41,6,33,48,43
36755,8,7,3,18,10,32,33,45,9,15,25,44
36815,4,3,2,14,32,23,25,25,24,34,2,6
37696,1,7,4,3,2,7,36,5,15,12,12,18
37743,6,1,8,18,15,36,28,18,21,19,11,34
37789,9,1,7,40,32,49,24,10,16,43,13,18
37827,4,2,6,30,2,20,17,18,25,20,25,48
38116,6,5,8,30,40,13,14,34,26,36,15,32
38990,2,5,4,27,31,5,26,29,18,40,49,14
40107,8,2,3,44,8,49,42,20,25,19,9,12
40475,3,6,7,48,25,26,6,0,8,2,11,29
40584,4,6,9,0,34,34,27,31,11,42,43,36
41130,6,9,1,49,32,9,17,19,49,17,47,34
41721,1,3,9,19,12,30,13,48,14,2,10,7
42076,9,4,8,4,21,36,28,21,14,12,43,50
44814,3,6,5,35,48,23,17,11,8,45,33,33
45640,4,2,6,40,30,7,17,46,19,41,26,10
47814,6,1,2,5,14,4,32,37,38,21,31,8
49258,3,8,2,49,39,19,26,43,47,16,44,9
50321,5,8,7,9,22,35,12,34,38,45,31,18
50380,4,8,3,41,46,3,21,41,16,21,16,15
50812,7,4,8,4,40,14,31,12,4,30,45,12
51696,2,4,7,15,12,15,42,28,22,4,42,45
53018,5,7,4,28,17,1,12,32,1,45,23,46
53198,2,5,4,34,25,3,23,32,3,26,35,36
55855,5,3,7,31,25,31,1,39,4,23,7,46
56716,2,9,6,10,38,26,50,41,18,45,50,13
57215,6,1,7,33,15,2,19,13,30,26,10,26
59868,6,2,8,3,17,4,5,25,45,26,48,6
61028,6,9,8,27,49,15,20,10,37,4,4,1
63800,7,3,8,30,28,12,4,12,29,0,17,2
64839,5,3,7,11,16,4,12,14,6,21,12,16
65917,2,7,8,31,8,16,14,32,46,39,2,13
66519,4,7,2,27,20,15,39,22,33,20,31,30
66904,2,3,8,13,32,15,39,39,3,24,5,20
66909,8,9,2,47,20,2,8,42,21,6,45,2
68069,8,6,4,2,44,29,10,35,35,31,2,28
68409,3,5,7,1,13,42,14,9,15,18,34,9
68505,4,5,3,35,7,35,50,2,31,20,8,17
69158,2,5,8,6,25,6,15,29,0,27,20,40
69829,2,8,9,17,39,28,9,1,44,1,2,37
72262,6,3,4,37,1,49,47,5,29,14,20,3
73121,4,3,8,40,21,13,13,47,16,40,39,47
73938,3,2,6,47,19,32,30,20,27,43,43,12
74647,3,4,8,33,36,35,16,32,48,21,27,26
75382,2,3,5,44,7,37,5,30,46,41,18,12
75463,6,3,9,14,40,44,36,30,3,20,3,15
75522,6,4,3,42,12,10,29,13,49,2,37,1
76711,6,2,3,30,5,31,39,31,13,50,25,13
77506,2,3,6,21,14,13,22,17,16,22,11,5
77934,6,4,9,41,25,50,47,30,42,1,27,4
81395,4,8,7,16,28,29,32,44,28,39,7,26
82238,6,7,4,20,33,12,49,5,23,26,9,44
83529,2,9,6,14,24,49,48,13,7,34,10,34
86928,5,7,3,24,11,6,32,15,49,37,27,47
88392,4,2,1,26,37,38,35,48,31,16,47,35
88510,1,6,5,6,22,32,15,19,34,35,7,36
91461,3,7,6,49,37,28,29,49,34,18,35,38
93581,8,4,6,29,36,34,43,18,42,18,8,6
94015,6,2,3,12,26,30,26,25,11,32,7,36
95257,7,1,4,15,47,39,43,11,46,24,32,2
95733,5,7,4,23,48,18,21,40,22,9,42,21
98545,3,6,4,19,15,32,2,38,28,25,17,24
99623,6,4,5,49,24,35,49,27,10,2,28,2
99798,4,3,9,34,9,28,41,10,31,46,12,48
